epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1715.61,2.30702,3.35223,1.72348,0.16962,0.11173,0.04937,0.01477,2.97707,3.42024,1.31704,0.000665138,0.000665138,0.000665138
2,3433.85,2.37856,2.68848,1.76809,0.17604,0.17039,0.07961,0.0228,3.13556,3.48813,1.31641,0.00126588,0.00126588,0.00126588
3,5160.69,2.34973,2.5929,1.73062,0.3727,0.16201,0.14245,0.05327,2.90709,2.41092,1.34825,0.00180062,0.00180062,0.00180062
4,6890.23,2.30348,2.50136,1.69138,0.20891,0.14944,0.0917,0.02927,2.91244,2.88868,1.32394,0.001703,0.001703,0.001703
5,8622.79,2.23748,2.38283,1.64967,0.39507,0.19274,0.1914,0.06263,2.83703,2.34698,1.20289,0.001604,0.001604,0.001604
6,10343.8,2.19204,2.27783,1.59815,0.27029,0.16201,0.11414,0.03845,2.86751,2.62099,1.2826,0.001505,0.001505,0.001505
7,12058.9,2.15722,2.20962,1.5855,0.21659,0.14246,0.08909,0.03168,2.88869,2.60694,1.30559,0.001406,0.001406,0.001406
8,13782.1,2.11635,2.14678,1.5614,0.39383,0.1648,0.16367,0.0624,2.72338,2.47729,1.19309,0.001307,0.001307,0.001307
9,15502.9,2.0909,2.10731,1.53485,0.34794,0.19973,0.17696,0.06554,2.65629,2.20104,1.21287,0.001208,0.001208,0.001208
10,17225.9,2.09773,2.06063,1.54108,0.386,0.21927,0.21085,0.08198,2.59353,2.16567,1.19322,0.001109,0.001109,0.001109
11,18935,2.07529,2.02292,1.56461,0.34403,0.18436,0.17511,0.07103,2.63794,2.18316,1.18419,0.00101,0.00101,0.00101
12,20644.3,2.05775,1.96453,1.5514,0.32389,0.22207,0.19977,0.07829,2.58561,2.16884,1.16913,0.000911,0.000911,0.000911
13,22354.2,2.02674,1.90879,1.52954,0.45814,0.17595,0.1936,0.08115,2.63286,2.06531,1.2158,0.000812,0.000812,0.000812
14,24163.3,2.00495,1.8725,1.50845,0.27313,0.18156,0.118,0.03812,2.85133,2.29739,1.3127,0.000713,0.000713,0.000713
15,25897.1,1.98478,1.84284,1.49496,0.30054,0.17877,0.14331,0.0506,2.7837,2.19829,1.26283,0.000614,0.000614,0.000614
16,27611.3,1.95269,1.80041,1.47636,0.4628,0.20391,0.2109,0.08199,2.60942,2.09008,1.19484,0.000515,0.000515,0.000515
17,29325.3,1.94606,1.76345,1.47305,0.40267,0.20525,0.19849,0.07654,2.61473,2.09614,1.22069,0.000416,0.000416,0.000416
18,31033.9,1.91175,1.72448,1.45296,0.43738,0.20531,0.20503,0.08051,2.59256,2.02379,1.20041,0.000317,0.000317,0.000317
19,32745.7,1.89843,1.67761,1.4375,0.4137,0.21508,0.21762,0.08819,2.53615,1.99356,1.18779,0.000218,0.000218,0.000218
20,34459.3,1.88957,1.66687,1.43709,0.39615,0.23324,0.23754,0.09682,2.49221,1.95018,1.16077,0.000119,0.000119,0.000119
