epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1713.77,2.2568,3.77785,1.68766,0.24585,0.15223,0.09994,0.02834,3.13401,4.44165,1.26385,0.00332569,0.00332569,0.00332569
2,3394.48,2.22383,2.74571,1.59647,0.24312,0.14106,0.09131,0.0301,3.02392,3.18323,1.31697,0.00663705,0.00663705,0.00663705
3,5073.77,2.33515,2.62034,1.68456,0.32392,0.0803,0.06604,0.02634,3.17939,3.18789,1.44645,0.00992641,0.00992641,0.00992641
4,6760.75,2.41992,2.65823,1.74419,0.1628,0.11872,0.0583,0.01756,3.11421,3.11051,1.37513,0.009901,0.009901,0.009901
5,8432.44,2.35929,2.55755,1.74077,0.29886,0.17145,0.1253,0.04794,2.97047,3.13086,1.31902,0.009868,0.009868,0.009868
6,10101.9,2.30359,2.41332,1.66309,0.20082,0.15363,0.09165,0.03089,2.98802,2.82505,1.25983,0.009835,0.009835,0.009835
7,11772.2,2.26579,2.35709,1.65803,0.19616,0.16341,0.09334,0.03121,2.97316,2.8517,1.33214,0.009802,0.009802,0.009802
8,13443.3,2.22049,2.29012,1.6349,0.30617,0.15346,0.12513,0.04362,3.04672,2.45721,1.33022,0.009769,0.009769,0.009769
9,15117.2,2.20443,2.25669,1.61387,0.36839,0.1841,0.17368,0.06311,2.77415,2.42985,1.2232,0.009736,0.009736,0.009736
10,16812,2.19577,2.2172,1.61691,0.29577,0.17318,0.14339,0.05214,2.70904,2.57095,1.2375,0.009703,0.009703,0.009703
11,18574,2.1733,2.18671,1.59974,0.30299,0.1676,0.13414,0.05353,2.77915,2.48118,1.25523,0.00967,0.00967,0.00967
12,20353.6,2.15184,2.15729,1.5964,0.30912,0.22765,0.17723,0.06293,2.70359,2.31864,1.21734,0.009637,0.009637,0.009637
13,22129.4,2.15619,2.12674,1.57835,0.25342,0.14944,0.1189,0.04362,2.82545,2.44157,1.26236,0.009604,0.009604,0.009604
14,23894.9,2.12157,2.10714,1.55825,0.25578,0.15922,0.12564,0.04591,2.87996,2.50076,1.30951,0.009571,0.009571,0.009571
15,25664.4,2.09787,2.06333,1.54586,0.33981,0.17877,0.18267,0.06208,2.73218,2.41417,1.17728,0.009538,0.009538,0.009538
16,27439.6,2.0844,2.02419,1.53912,0.31375,0.16899,0.14637,0.05553,2.78314,2.23598,1.28589,0.009505,0.009505,0.009505
17,29199.3,2.0837,2.02085,1.53382,0.33085,0.2081,0.16291,0.0619,2.72865,2.15579,1.23333,0.009472,0.009472,0.009472
18,30973.4,2.07232,2.02716,1.54233,0.31815,0.20391,0.17908,0.06441,2.54747,2.18328,1.1929,0.009439,0.009439,0.009439
19,32743.7,2.0708,1.98395,1.53208,0.28419,0.19972,0.16158,0.05782,2.60573,2.2367,1.17533,0.009406,0.009406,0.009406
20,34524.4,2.05832,1.96826,1.51922,0.22879,0.18436,0.11956,0.04489,2.72407,2.29545,1.25785,0.009373,0.009373,0.009373
21,36305,2.07151,1.9673,1.52195,0.41894,0.2081,0.21562,0.08705,2.53193,2.08048,1.16708,0.00934,0.00934,0.00934
22,38066,2.05504,1.94982,1.51655,0.333,0.21369,0.17972,0.06414,2.64407,2.16161,1.19661,0.009307,0.009307,0.009307
23,39832.3,2.03651,1.94248,1.50177,0.33393,0.21089,0.18649,0.0608,2.68553,2.23025,1.22438,0.009274,0.009274,0.009274
24,41614.1,2.0315,1.94632,1.50139,0.34403,0.21788,0.19529,0.07205,2.57881,2.20928,1.18129,0.009241,0.009241,0.009241
25,43379.3,2.02937,1.91139,1.50169,0.36754,0.23464,0.21557,0.08173,2.47928,2.13295,1.15989,0.009208,0.009208,0.009208
26,45138.7,2.01712,1.9249,1.48518,0.34457,0.21229,0.18144,0.0681,2.53636,2.24177,1.17011,0.009175,0.009175,0.009175
27,46905.8,2.02113,1.88859,1.49478,0.35411,0.25652,0.23433,0.08925,2.47111,2.03498,1.15557,0.009142,0.009142,0.009142
28,48680.4,2.01429,1.8754,1.48964,0.40217,0.23603,0.2311,0.094,2.44064,2.02927,1.14071,0.009109,0.009109,0.009109
29,50452.3,2.00409,1.86852,1.47642,0.46752,0.24581,0.26217,0.09927,2.49108,2.00994,1.1545,0.009076,0.009076,0.009076
30,52231.7,2.00639,1.88325,1.48218,0.43379,0.24441,0.24155,0.08694,2.51332,1.99779,1.16559,0.009043,0.009043,0.009043
31,54012.3,1.9942,1.83766,1.46961,0.38782,0.25,0.24119,0.08901,2.47134,2.04905,1.16027,0.00901,0.00901,0.00901
32,55782.7,1.96676,1.81746,1.45908,0.28999,0.21648,0.18421,0.06102,2.61169,2.06359,1.22391,0.008977,0.008977,0.008977
