epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3794.57,2.35225,3.17149,1.78417,0.02339,0.06425,0.00655,0.00192,3.70494,5.56889,1.30918,0.000665138,0.000665138,0.000665138
2,7562.99,2.40339,2.67934,1.84039,0.2406,0.15503,0.08938,0.02681,3.01022,2.96577,1.29626,0.00126588,0.00126588,0.00126588
3,11330,2.37065,2.5866,1.79384,0.30816,0.10615,0.09574,0.03779,2.95632,2.74296,1.31346,0.00180062,0.00180062,0.00180062
4,15106.6,2.31724,2.51147,1.74516,0.35069,0.17651,0.13402,0.05052,2.83706,2.5223,1.27063,0.001703,0.001703,0.001703
5,18870.8,2.23529,2.3771,1.69731,0.37342,0.21648,0.20432,0.06795,2.74662,2.31308,1.21735,0.001604,0.001604,0.001604
6,22634.5,2.20132,2.2664,1.63819,0.27397,0.16061,0.1324,0.04596,2.74421,2.45952,1.26482,0.001505,0.001505,0.001505
7,26394.9,2.14495,2.18794,1.61688,0.33119,0.17737,0.13705,0.04559,2.75143,2.42711,1.25635,0.001406,0.001406,0.001406
8,30153.9,2.11332,2.11346,1.59042,0.29669,0.20531,0.14536,0.05245,2.70634,2.34124,1.24379,0.001307,0.001307,0.001307
9,33913.4,2.0782,2.08303,1.5603,0.35043,0.22905,0.19596,0.07069,2.62298,2.09992,1.21948,0.001208,0.001208,0.001208
10,37664.8,2.07232,2.0301,1.56111,0.33893,0.20391,0.18548,0.06632,2.53699,2.10941,1.16988,0.001109,0.001109,0.001109
11,41401.7,2.07059,1.99461,1.59279,0.42066,0.18715,0.18064,0.06589,2.57207,2.10615,1.19997,0.00101,0.00101,0.00101
12,45185.9,2.03153,1.93107,1.5718,0.42281,0.29567,0.27612,0.1067,2.43933,1.92973,1.14668,0.000911,0.000911,0.000911
13,49111.9,1.99625,1.87699,1.54407,0.43448,0.2468,0.26697,0.10266,2.45533,1.93216,1.14708,0.000812,0.000812,0.000812
14,52971,1.99356,1.83733,1.53451,0.4061,0.24581,0.2185,0.08253,2.55401,2.03578,1.1887,0.000713,0.000713,0.000713
15,56679.9,1.96639,1.81995,1.51665,0.41613,0.23464,0.23624,0.09073,2.51317,1.8979,1.17333,0.000614,0.000614,0.000614
16,60398.9,1.93537,1.75734,1.50548,0.43932,0.26536,0.2732,0.10567,2.40064,1.90541,1.12478,0.000515,0.000515,0.000515
17,64140.6,1.9265,1.71149,1.49698,0.44822,0.25419,0.26674,0.10731,2.42897,1.86433,1.1411,0.000416,0.000416,0.000416
18,67871.1,1.88579,1.66135,1.47596,0.50675,0.25419,0.27058,0.10773,2.40846,1.82834,1.13914,0.000317,0.000317,0.000317
19,71609.6,1.86995,1.62146,1.45784,0.47884,0.27793,0.29688,0.11724,2.36909,1.78104,1.12399,0.000218,0.000218,0.000218
20,75357.1,1.86297,1.60311,1.45603,0.44985,0.27793,0.27731,0.11238,2.39098,1.8099,1.13637,0.000119,0.000119,0.000119
